faze-vs-ence-nuke.out
de_nuke
DMG/!coldzera /!78.574,55.944/!deagle/!Aerial/!79.819,44.711/!46
DMG/!coldzera /!78.763,55.963/!deagle/!Aerial/!79.954,44.834/!46
DMG/!Aerial/!79.998,44.848/!ak47/!coldzera /!78.763,55.963/!35
DMG/!coldzera /!78.653,55.952/!deagle/!Aerial/!80.061,44.859/!57
KILL/!coldzera /!78.653,55.952/!deagle/!Aerial/!80.061,44.859
DMG/!Jamppi/!81.305,55.061/!p250/!coldzera /!73.813,55.091/!44
DMG/!Jamppi/!81.318,54.963/!p250/!coldzera /!73.747,55.055/!43
KILL/!Jamppi/!81.318,54.963/!p250/!coldzera /!73.747,55.055
DMG/!allu/!80.786,49.089/!ak47/!Bymas/!81.067,60.477/!35
DMG/!allu/!80.781,49.134/!ak47/!Bymas/!81.140,60.476/!35
KILL/!allu/!80.741,49.144/!ak47 HS/!Bymas/!81.138,60.476
DMG/!allu/!80.741,49.144/!ak47/!Bymas/!81.138,60.476/!140
DMG/!Bymas/!73.190,77.914/!hegrenade/!allu/!62.819,60.842/!27
DMG/!Aerial/!85.531,39.173/!ak47/!broky /!85.437,54.441/!33
DMG/!broky /!85.434,54.442/!awp/!Aerial/!85.531,39.173/!110
KILL/!broky /!85.434,54.442/!awp/!Aerial/!85.531,39.173
DMG/!suNny/!93.533,25.960/!ak47/!NiKo /!83.623,32.985/!57
DMG/!Bymas/!70.441,71.746/!m4a1/!allu/!62.558,58.055/!21
DMG/!Bymas/!70.439,71.739/!m4a1/!allu/!62.558,58.055/!6
DMG/!Bymas/!70.442,71.753/!m4a1/!allu/!62.558,58.055/!22
DMG/!Bymas/!70.442,71.751/!m4a1/!allu/!62.550,58.060/!21
DMG/!Bymas/!70.442,71.750/!m4a1/!allu/!62.531,58.070/!5
KILL/!Bymas/!70.442,71.750/!m4a1 WB/!allu/!62.531,58.070
DMG/!rain /!69.001,40.014/!m4a1/!suNny/!71.297,40.857/!22
DMG/!rain /!69.034,39.926/!m4a1/!suNny/!71.316,40.959/!22
DMG/!rain /!69.089,39.764/!m4a1/!suNny/!71.327,41.006/!22
DMG/!rain /!69.278,39.347/!m4a1/!suNny/!71.367,41.098/!22
KILL/!rain /!69.344,39.236/!m4a1/!suNny/!71.366,41.095
DMG/!rain /!69.344,39.236/!m4a1/!suNny/!71.366,41.095/!28
DMG/!rain /!70.393,38.748/!m4a1/!Jamppi/!72.574,42.040/!12
DMG/!rain /!70.425,38.758/!m4a1/!Jamppi/!72.556,42.052/!12
DMG/!Jamppi/!72.558,42.051/!awp/!rain /!70.425,38.757/!111
KILL/!Jamppi/!72.558,42.051/!awp/!rain /!70.425,38.757
DMG/!coldzera /!69.273,51.998/!m4a1/!sergej/!81.966,58.954/!27
DMG/!coldzera /!69.273,51.998/!m4a1/!sergej/!81.907,59.031/!22
DMG/!coldzera /!69.277,51.989/!m4a1/!sergej/!81.897,59.111/!22
DMG/!coldzera /!69.608,53.549/!m4a1/!Jamppi/!76.032,44.489/!22
DMG/!coldzera /!69.559,53.518/!m4a1/!Jamppi/!75.985,44.458/!22
DMG/!coldzera /!69.508,53.482/!m4a1/!Jamppi/!75.938,44.423/!22
DMG/!coldzera /!69.446,53.438/!m4a1/!Jamppi/!75.925,44.413/!22
KILL/!coldzera /!69.446,53.438/!m4a1/!Jamppi/!75.925,44.413
