faze-vs-ence-dust2.out
de_dust2
DMG/!rain /!88.023,111.842/!m4a1/!Aerial/!87.742,121.554/!89
DMG/!allu/!84.412,120.384/!ak47/!Bymas/!94.284,85.762/!25
DMG/!allu/!84.300,120.412/!ak47/!Bymas/!94.481,85.821/!32
DMG/!Bymas/!94.400,85.797/!ak47/!allu/!84.300,120.412/!14
KILL/!rain /!87.925,113.490/!m4a1 HS/!allu/!83.765,119.972
DMG/!rain /!87.925,113.490/!m4a1/!allu/!83.765,119.972/!90
KILL/!coldzera /!56.553,80.259/!ak47 HS/!sergej/!68.726,67.723
DMG/!coldzera /!56.553,80.259/!ak47/!sergej/!68.726,67.723/!139
DMG/!coldzera /!57.605,79.233/!ak47/!Aerial/!68.747,69.111/!27
DMG/!coldzera /!57.578,79.201/!ak47/!Aerial/!68.695,69.040/!27
DMG/!coldzera /!57.586,79.210/!ak47/!Aerial/!68.759,69.108/!27
DMG/!coldzera /!57.575,79.199/!ak47/!Aerial/!68.870,69.233/!33
KILL/!coldzera /!57.575,79.199/!ak47/!Aerial/!68.870,69.233
DMG/!rain /!87.461,125.009/!ak47/!Jamppi/!87.678,97.788/!26
DMG/!allu/!71.871,67.667/!deagle/!coldzera /!57.222,77.999/!39
DMG/!coldzera /!57.272,78.037/!ak47/!allu/!71.753,67.500/!33
DMG/!coldzera /!57.303,78.079/!ak47/!allu/!71.725,67.460/!33
DMG/!coldzera /!57.336,78.124/!ak47/!allu/!71.702,67.428/!33
DMG/!rain /!88.189,125.014/!ak47/!Jamppi/!88.160,97.855/!26
DMG/!coldzera /!57.411,78.223/!ak47/!allu/!71.638,67.400/!138
KILL/!coldzera /!57.411,78.223/!ak47 HS/!allu/!71.638,67.400
DMG/!rain /!88.456,125.015/!ak47/!Jamppi/!88.169,97.854/!136
KILL/!rain /!88.456,125.015/!ak47 HS/!Jamppi/!88.169,97.854
KILL/!coldzera /!67.751,75.742/!ak47 HS/!suNny/!73.978,69.569
DMG/!coldzera /!67.751,75.742/!ak47/!suNny/!73.978,69.569/!141
DMG/!NiKo /!87.856,91.460/!awp/!allu/!73.416,79.566/!451
KILL/!NiKo /!87.856,91.460/!awp HS/!allu/!73.416,79.566
DMG/!NiKo /!83.147,88.298/!molotov/!Jamppi/!75.609,76.872/!1
DMG/!NiKo /!79.560,87.439/!inferno/!Jamppi/!76.200,75.209/!1
DMG/!NiKo /!78.818,87.266/!inferno/!Jamppi/!76.438,74.388/!2
DMG/!Aerial/!26.368,104.437/!ak47/!broky /!34.437,104.828/!27
DMG/!broky /!34.428,104.818/!ak47/!Aerial/!26.408,104.435/!27
DMG/!Aerial/!26.471,104.324/!ak47/!broky /!34.429,104.778/!34
DMG/!broky /!34.429,104.772/!ak47/!Aerial/!26.489,104.318/!27
DMG/!Aerial/!26.502,104.316/!ak47/!broky /!34.429,104.761/!27
DMG/!broky /!34.429,104.758/!ak47/!Aerial/!26.502,104.316/!27
DMG/!Aerial/!26.502,104.316/!ak47/!broky /!34.430,104.751/!109
KILL/!Aerial/!26.502,104.316/!ak47 HS/!broky /!34.430,104.751
DMG/!sergej/!29.904,102.137/!ak47/!coldzera /!36.568,110.934/!27
