faze-vs-ence-mirage.out
de_mirage
KILL/!allu/!40.299,51.685/!m4a1 HS/!Bymas/!44.111,59.096
DMG/!allu/!40.299,51.685/!m4a1/!Bymas/!44.111,59.096/!128
DMG/!suNny/!48.860,50.095/!m4a1/!rain /!51.891,51.387/!11
DMG/!suNny/!48.859,50.272/!m4a1/!rain /!51.842,51.390/!9
DMG/!suNny/!48.859,50.415/!m4a1/!rain /!51.798,51.391/!28
DMG/!suNny/!48.863,50.517/!m4a1/!rain /!51.742,51.403/!22
DMG/!suNny/!48.866,50.522/!m4a1/!rain /!51.753,51.399/!91
KILL/!suNny/!48.866,50.522/!m4a1 HS/!rain /!51.753,51.399
DMG/!NiKo /!48.684,49.609/!ak47/!suNny/!52.583,47.551/!27
DMG/!NiKo /!48.684,49.603/!ak47/!suNny/!52.583,47.551/!13
DMG/!NiKo /!48.686,49.605/!ak47/!suNny/!52.583,47.551/!32
DMG/!NiKo /!48.686,49.605/!ak47/!suNny/!52.583,47.551/!12
DMG/!NiKo /!48.686,49.605/!ak47/!suNny/!52.583,47.496/!11
DMG/!NiKo /!48.686,49.605/!ak47/!suNny/!52.583,47.417/!13
KILL/!NiKo /!48.686,49.605/!ak47 WB/!suNny/!52.583,47.417
DMG/!allu/!39.778,57.235/!m4a1/!broky /!50.571,50.008/!22
DMG/!allu/!39.739,57.176/!m4a1/!broky /!50.568,49.992/!22
DMG/!allu/!39.729,57.162/!m4a1/!broky /!50.567,49.991/!22
DMG/!allu/!39.729,57.162/!m4a1/!broky /!50.532,50.041/!22
DMG/!allu/!39.729,57.162/!m4a1/!broky /!50.530,50.047/!22
KILL/!allu/!39.729,57.162/!m4a1/!broky /!50.530,50.047
DMG/!allu/!39.742,56.319/!m4a1/!NiKo /!50.236,51.524/!31
DMG/!NiKo /!50.139,51.446/!ak47/!allu/!39.777,56.402/!27
DMG/!NiKo /!50.159,51.488/!ak47/!allu/!39.777,56.402/!3
DMG/!NiKo /!50.180,51.532/!ak47/!allu/!39.777,56.402/!27
DMG/!NiKo /!50.206,51.589/!ak47/!allu/!39.777,56.402/!27
DMG/!NiKo /!50.235,51.650/!ak47/!allu/!39.777,56.402/!108
KILL/!NiKo /!50.235,51.650/!ak47 HS/!allu/!39.777,56.402
DMG/!sergej/!55.272,25.124/!mp9/!NiKo /!49.019,42.846/!19
DMG/!sergej/!55.267,25.122/!mp9/!NiKo /!49.032,42.842/!20
DMG/!sergej/!55.256,25.119/!mp9/!NiKo /!49.049,42.871/!19
DMG/!NiKo /!49.045,42.896/!ak47/!sergej/!55.138,25.079/!33
DMG/!sergej/!55.125,25.075/!mp9/!NiKo /!49.040,42.894/!80
KILL/!sergej/!55.125,25.075/!mp9 HS/!NiKo /!49.040,42.894
DMG/!sergej/!55.261,25.070/!mp9/!coldzera /!63.622,24.145/!5
DMG/!coldzera /!63.609,23.951/!deagle/!sergej/!55.118,25.618/!58
DMG/!coldzera /!59.916,26.903/!deagle/!sergej/!57.680,23.608/!54
DMG/!Jamppi/!39.617,41.584/!m4a1/!coldzera /!59.916,26.903/!21
KILL/!coldzera /!59.916,26.903/!deagle/!sergej/!57.680,23.608
DMG/!Jamppi/!39.656,41.533/!m4a1/!coldzera /!59.922,26.901/!21
DMG/!Jamppi/!39.662,41.525/!m4a1/!coldzera /!59.933,26.893/!21
DMG/!Jamppi/!39.662,41.525/!m4a1/!coldzera /!59.983,26.779/!22
DMG/!coldzera /!59.612,26.359/!deagle/!Jamppi/!39.792,41.698/!137
KILL/!coldzera /!59.612,26.359/!deagle HS/!Jamppi/!39.792,41.698
DMG/!Aerial/!48.792,48.919/!ump45/!coldzera /!52.545,29.772/!12
KILL/!Aerial/!48.792,48.919/!ump45/!coldzera /!52.545,29.772
DMG/!Aerial/!26.459,81.913/!m4a1/!rain /!38.818,81.314/!22
DMG/!Aerial/!26.751,81.955/!m4a1/!rain /!38.616,81.553/!22
DMG/!Aerial/!26.798,81.965/!m4a1/!rain /!38.281,82.160/!22
DMG/!Aerial/!26.798,81.965/!m4a1/!rain /!38.195,82.319/!22
DMG/!Aerial/!26.834,81.932/!m4a1/!rain /!37.957,82.687/!2
DMG/!Aerial/!27.287,80.734/!m4a1/!rain /!37.647,82.261/!89
KILL/!Aerial/!27.287,80.734/!m4a1 HS/!rain /!37.647,82.261
DMG/!Jamppi/!20.782,73.059/!hegrenade/!NiKo /!41.599,81.048/!4
DMG/!Jamppi/!20.782,73.059/!hegrenade/!Bymas/!39.977,79.428/!6
DMG/!Aerial/!27.432,81.363/!m4a1/!NiKo /!41.696,80.831/!22
DMG/!NiKo /!41.780,81.329/!deagle/!Aerial/!27.431,81.210/!43
DMG/!Bymas/!39.909,80.485/!deagle/!Aerial/!27.431,81.210/!56
KILL/!NiKo /!41.779,81.393/!deagle HS/!Aerial/!27.431,81.055
DMG/!NiKo /!41.779,81.393/!deagle/!Aerial/!27.431,81.055/!173
DMG/!NiKo /!35.012,82.195/!inferno/!Jamppi/!12.047,77.454/!3
DMG/!NiKo /!34.828,82.121/!inferno/!Jamppi/!12.045,77.454/!4
DMG/!NiKo /!34.226,81.886/!inferno/!Jamppi/!12.044,77.454/!4
DMG/!NiKo /!33.404,81.720/!inferno/!Jamppi/!12.044,77.454/!5
DMG/!NiKo /!32.600,81.903/!inferno/!Jamppi/!12.043,77.454/!6
DMG/!NiKo /!31.865,82.359/!inferno/!Jamppi/!12.043,77.454/!7
DMG/!NiKo /!31.036,82.714/!inferno/!Jamppi/!12.043,77.454/!8
DMG/!NiKo /!30.196,82.898/!inferno/!Jamppi/!12.045,77.290/!8
DMG/!NiKo /!29.363,82.722/!inferno/!Jamppi/!12.045,76.609/!8
DMG/!NiKo /!28.936,82.132/!inferno/!Jamppi/!11.891,75.983/!8
DMG/!NiKo /!28.549,81.366/!inferno/!Jamppi/!11.702,75.061/!8
DMG/!NiKo /!27.875,80.903/!inferno/!Jamppi/!11.574,74.361/!8
DMG/!Jamppi/!11.560,74.285/!ak47/!coldzera /!26.132,71.896/!27
DMG/!NiKo /!27.183,80.422/!inferno/!Jamppi/!11.554,74.240/!8
DMG/!Jamppi/!11.550,74.203/!ak47/!coldzera /!26.132,71.896/!108
KILL/!Jamppi/!11.550,74.203/!ak47 HS/!coldzera /!26.132,71.896
DMG/!NiKo /!26.531,80.443/!inferno/!Jamppi/!11.555,74.234/!8
DMG/!NiKo /!26.477,80.997/!inferno/!Jamppi/!11.556,74.247/!8
KILL/!NiKo /!26.477,80.997/!inferno/!Jamppi/!11.556,74.247
DMG/!NiKo /!24.351,75.763/!inferno/!broky /!14.370,76.459/!3
DMG/!sergej/!26.155,57.373/!m4a1/!Bymas/!20.051,81.888/!10
DMG/!sergej/!25.730,57.337/!m4a1/!Bymas/!20.758,82.030/!4
DMG/!sergej/!25.704,57.330/!m4a1/!Bymas/!20.868,82.055/!3
DMG/!allu/!29.881,78.603/!mp9/!NiKo /!24.672,76.966/!14
DMG/!allu/!29.571,78.703/!mp9/!NiKo /!24.743,76.986/!14
DMG/!allu/!28.954,78.906/!mp9/!NiKo /!24.889,76.928/!14
DMG/!allu/!28.678,78.890/!mp9/!NiKo /!24.946,76.894/!14
DMG/!allu/!28.365,78.848/!mp9/!NiKo /!25.013,76.851/!14
DMG/!allu/!27.473,78.920/!mp9/!NiKo /!25.167,76.654/!59
KILL/!allu/!27.473,78.920/!mp9 HS/!NiKo /!25.167,76.654
DMG/!broky /!13.013,74.373/!ak47/!allu/!23.915,78.643/!108
