./demos/movistar-riders-vs-gamerlegion-overpass.out
KILL/!MRS - mopoz/!52.908,60.073/!tec9 HS/!GL ` Gux/!51.714,63.784
DMG/!GL ` RuStY^_^/!40.496,71.985/!m4a1_silencer/!MRS - lowel/!44.594,57.728/!22
DMG/!GL ` RuStY^_^/!40.495,71.985/!m4a1_silencer/!MRS - lowel/!44.671,57.749/!22
DMG/!MRS - lowel/!44.738,57.776/!deagle/!GL ` RuStY^_^/!40.471,71.978/!42
DMG/!GL ` RuStY^_^/!40.070,73.217/!m4a1_silencer/!MRS - lowel/!45.547,59.590/!22
KILL/!GL ` RuStY^_^/!40.070,73.217/!m4a1_silencer/!MRS - lowel/!45.547,59.590
DMG/!GL ` RuStY^_^/!37.558,72.130/!m4a1_silencer/!MRS - steel/!32.681,63.906/!91
DMG/!MRS - steel/!32.681,63.906/!mac10/!GL ` RuStY^_^/!37.558,72.130/!13
DMG/!MRS - steel/!32.686,63.917/!mac10/!GL ` RuStY^_^/!37.569,72.095/!16
DMG/!GL ` RuStY^_^/!37.566,72.082/!m4a1_silencer/!MRS - steel/!32.755,63.881/!22
KILL/!GL ` RuStY^_^/!37.566,72.082/!m4a1_silencer/!MRS - steel/!32.755,63.881
DMG/!MRS - mopoz/!46.317,72.193/!mp9/!GL ` RuStY^_^/!37.559,71.999/!13
DMG/!MRS - mopoz/!46.066,72.301/!mp9/!GL ` RuStY^_^/!37.541,71.983/!17
KILL/!MRS - mopoz/!46.066,72.301/!mp9/!GL ` RuStY^_^/!37.541,71.983
DMG/!MRS - ALEXXXXX/!32.525,59.346/!galilar/!GL ` hampus/!29.117,47.473/!22
DMG/!MRS - ALEXXXXX/!32.474,59.444/!galilar/!GL ` hampus/!29.120,47.496/!22
DMG/!MRS - ALEXXXXX/!32.474,59.444/!galilar/!GL ` hampus/!29.170,47.578/!6
DMG/!MRS - ALEXXXXX/!32.474,59.444/!galilar/!GL ` hampus/!29.252,47.633/!7
DMG/!MRS - ALEXXXXX/!32.474,59.444/!galilar/!GL ` hampus/!29.323,47.635/!8
DMG/!MRS - ALEXXXXX/!32.458,59.449/!galilar/!GL ` hampus/!29.409,47.624/!6
DMG/!MRS - ALEXXXXX/!32.431,59.458/!galilar/!GL ` hampus/!29.660,47.590/!7
DMG/!MRS - ALEXXXXX/!32.431,59.458/!galilar/!GL ` hampus/!29.739,47.579/!7
DMG/!MRS - ALEXXXXX/!32.431,59.458/!galilar/!GL ` hampus/!29.772,47.341/!7
KILL/!MRS - ALEXXXXX/!30.566,59.700/!galilar/!GL ` hampus/!28.593,48.057
DMG/!MRS - ALEXXXXX/!30.566,59.700/!galilar/!GL ` hampus/!28.593,48.057/!22
DMG/!MRS - mopoz/!34.523,75.391/!m4a1_silencer/!GL ` kingmezii/!31.392,66.208/!24
DMG/!MRS - mopoz/!34.692,75.426/!m4a1_silencer/!GL ` kingmezii/!31.700,66.485/!24
DMG/!MRS - mopoz/!34.832,75.464/!m4a1_silencer/!GL ` kingmezii/!32.118,67.171/!22
DMG/!GL ` kingmezii/!31.586,68.025/!mp9/!MRS - mopoz/!34.983,75.424/!23
DMG/!MRS - mopoz/!35.011,75.413/!m4a1_silencer/!GL ` kingmezii/!31.567,68.022/!22
DMG/!MRS - mopoz/!35.050,75.395/!m4a1_silencer/!GL ` kingmezii/!31.542,68.030/!22
KILL/!MRS - mopoz/!35.050,75.395/!m4a1_silencer/!GL ` kingmezii/!31.542,68.030
DMG/!unnamed/!NAN/!/!MRS - EasTor/!25.194,82.603/!68
DMG/!unnamed/!NAN/!/!MRS - ALEXXXXX/!28.022,37.910/!8
DMG/!unnamed/!NAN/!/!GL ` eraa/!14.922,90.164/!1
DMG/!unnamed/!NAN/!/!MRS - mopoz/!50.946,34.172/!8
DMG/!GL ` eraa/!14.856,90.091/!awp/!MRS - EasTor/!23.220,82.441/!142
KILL/!GL ` eraa/!14.856,90.091/!awp/!MRS - EasTor/!23.220,82.441
DMG/!unnamed/!NAN/!/!GL ` eraa/!28.718,87.348/!5
KILL/!MRS - steel/!4.498,83.682/!m4a1_silencer HS/!GL ` Gux/!18.759,81.536
DMG/!MRS - steel/!4.498,83.682/!m4a1_silencer/!GL ` Gux/!18.759,81.536/!130
DMG/!GL ` kingmezii/!13.461,66.343/!mp9/!MRS - steel/!9.752,79.500/!51
DMG/!GL ` kingmezii/!13.522,66.357/!mp9/!MRS - steel/!9.816,79.531/!12
DMG/!GL ` kingmezii/!13.535,66.360/!mp9/!MRS - steel/!9.825,79.622/!12
DMG/!GL ` kingmezii/!13.158,66.790/!mp9/!MRS - steel/!9.972,79.247/!13
DMG/!GL ` kingmezii/!13.126,66.811/!mp9/!MRS - steel/!9.984,79.243/!13
KILL/!GL ` kingmezii/!13.126,66.811/!mp9/!MRS - steel/!9.984,79.243
DMG/!GL ` kingmezii/!11.189,65.402/!mp9/!MRS - ALEXXXXX/!14.066,59.382/!14
DMG/!GL ` kingmezii/!11.254,65.238/!mp9/!MRS - ALEXXXXX/!14.012,59.383/!14
DMG/!MRS - ALEXXXXX/!13.963,59.369/!ak47/!GL ` kingmezii/!11.328,65.138/!27
DMG/!GL ` kingmezii/!11.290,65.016/!mp9/!MRS - ALEXXXXX/!13.983,59.381/!57
DMG/!GL ` kingmezii/!11.315,65.000/!mp9/!MRS - ALEXXXXX/!14.033,59.406/!14
KILL/!GL ` kingmezii/!11.437,65.032/!mp9/!MRS - ALEXXXXX/!14.064,59.421
DMG/!GL ` kingmezii/!11.437,65.032/!mp9/!MRS - ALEXXXXX/!14.064,59.421/!14
DMG/!GL ` kingmezii/!14.576,62.982/!mp9/!MRS - EasTor/!10.803,66.457/!58
KILL/!GL ` kingmezii/!14.573,62.975/!mp9 HS/!MRS - EasTor/!10.784,66.442
DMG/!GL ` kingmezii/!14.573,62.975/!mp9/!MRS - EasTor/!10.784,66.442/!58
DMG/!MRS - lowel/!19.243,44.317/!m4a1/!GL ` kingmezii/!17.500,55.511/!27
DMG/!MRS - lowel/!19.368,53.643/!m4a1/!GL ` kingmezii/!17.226,56.738/!22
DMG/!GL ` kingmezii/!17.256,56.756/!ak47/!MRS - lowel/!19.315,53.636/!27
DMG/!MRS - lowel/!19.262,53.615/!m4a1/!GL ` kingmezii/!17.280,56.770/!22
DMG/!GL ` kingmezii/!17.294,56.779/!ak47/!MRS - lowel/!19.217,53.594/!27
DMG/!GL ` kingmezii/!17.317,56.795/!ak47/!MRS - lowel/!19.230,53.600/!110
KILL/!GL ` kingmezii/!17.317,56.795/!ak47 HS/!MRS - lowel/!19.230,53.600
KILL/!GL ` eraa/!13.043,83.014/!awp/!MRS - mopoz/!2.458,78.104
DMG/!GL ` eraa/!13.043,83.014/!awp/!MRS - mopoz/!2.458,78.104/!138
DMG/!GL ` hampus/!29.312,60.751/!ak47/!MRS - lowel/!35.982,45.988/!16
DMG/!GL ` kingmezii/!26.653,48.633/!ak47/!MRS - ALEXXXXX/!27.635,39.680/!141
KILL/!GL ` kingmezii/!26.653,48.633/!ak47 HS/!MRS - ALEXXXXX/!27.635,39.680
DMG/!GL ` Gux/!53.678,72.403/!aug/!MRS - mopoz/!51.785,55.432/!97
DMG/!GL ` Gux/!53.678,72.403/!aug/!MRS - mopoz/!51.783,55.451/!97
KILL/!GL ` Gux/!53.678,72.403/!aug HS/!MRS - mopoz/!51.783,55.451
DMG/!GL ` kingmezii/!21.045,42.042/!ak47/!MRS - EasTor/!9.251,36.128/!27
DMG/!GL ` kingmezii/!21.045,42.042/!ak47/!MRS - EasTor/!9.376,36.121/!33
DMG/!GL ` kingmezii/!21.045,42.042/!ak47/!MRS - EasTor/!9.487,36.093/!27
DMG/!GL ` kingmezii/!21.045,42.042/!ak47/!MRS - EasTor/!9.494,36.090/!108
KILL/!GL ` kingmezii/!21.045,42.042/!ak47 HS/!MRS - EasTor/!9.494,36.090
DMG/!MRS - steel/!9.784,36.734/!mac10/!GL ` kingmezii/!17.160,42.241/!13
DMG/!GL ` kingmezii/!17.164,42.250/!ak47/!MRS - steel/!9.764,36.764/!27
DMG/!MRS - steel/!9.670,36.904/!mac10/!GL ` kingmezii/!17.208,42.224/!13
DMG/!GL ` kingmezii/!17.226,42.199/!ak47/!MRS - steel/!9.760,36.770/!34
DMG/!MRS - steel/!9.802,36.710/!mac10/!GL ` kingmezii/!17.238,42.181/!13
DMG/!MRS - steel/!9.843,36.650/!mac10/!GL ` kingmezii/!17.248,42.165/!13
DMG/!MRS - steel/!9.883,36.593/!mac10/!GL ` kingmezii/!17.261,42.146/!13
DMG/!GL ` kingmezii/!17.261,42.146/!ak47/!MRS - steel/!9.883,36.593/!27
DMG/!MRS - steel/!9.903,36.564/!mac10/!GL ` kingmezii/!17.272,42.130/!13
KILL/!GL ` kingmezii/!17.293,42.099/!ak47/!MRS - steel/!9.938,36.515
DMG/!GL ` kingmezii/!17.293,42.099/!ak47/!MRS - steel/!9.938,36.515/!27
DMG/!MRS - lowel/!56.083,42.438/!ak47/!GL ` Gux/!48.818,71.865/!24
DMG/!MRS - lowel/!56.106,42.444/!ak47/!GL ` Gux/!48.743,71.844/!21
DMG/!MRS - lowel/!56.133,42.451/!ak47/!GL ` Gux/!48.642,71.816/!23
DMG/!MRS - lowel/!56.130,42.451/!ak47/!GL ` Gux/!48.487,71.774/!19
DMG/!GL ` hampus/!53.737,61.895/!ak47/!MRS - lowel/!53.547,51.073/!27
DMG/!GL ` hampus/!53.670,61.867/!ak47/!MRS - lowel/!53.472,51.072/!27
DMG/!GL ` RuStY^_^/!52.260,70.336/!m4a1_silencer/!MRS - lowel/!53.446,51.071/!22
DMG/!GL ` hampus/!53.659,61.864/!ak47/!MRS - lowel/!53.442,51.071/!27
KILL/!GL ` hampus/!53.659,61.864/!ak47/!MRS - lowel/!53.442,51.071
DMG/!GL ` kingmezii/!21.422,41.278/!ak47/!MRS - EasTor/!11.734,40.704/!35
DMG/!GL ` kingmezii/!21.420,41.278/!ak47/!MRS - EasTor/!11.783,41.094/!44
DMG/!GL ` kingmezii/!21.420,41.278/!ak47/!MRS - EasTor/!11.902,42.053/!26
KILL/!GL ` kingmezii/!21.420,41.278/!ak47/!MRS - EasTor/!11.902,42.053
DMG/!GL ` eraa/!14.301,53.177/!hegrenade/!MRS - lowel/!10.879,36.607/!26
DMG/!GL ` eraa/!14.301,53.177/!hegrenade/!MRS - ALEXXXXX/!6.649,37.821/!10
DMG/!GL ` eraa/!14.301,53.177/!hegrenade/!MRS - steel/!10.373,39.459/!3
DMG/!MRS - steel/!10.327,40.828/!glock/!GL ` kingmezii/!21.190,41.680/!11
DMG/!GL ` kingmezii/!21.199,41.602/!ak47/!MRS - steel/!10.292,41.293/!35
DMG/!GL ` kingmezii/!21.200,41.597/!ak47/!MRS - steel/!10.284,41.450/!35
DMG/!MRS - mopoz/!25.288,42.585/!glock/!GL ` kingmezii/!21.588,40.878/!13
DMG/!MRS - mopoz/!24.985,42.302/!glock/!GL ` kingmezii/!21.603,40.839/!13
DMG/!GL ` kingmezii/!21.620,40.833/!ak47/!MRS - steel/!10.479,42.749/!35
KILL/!GL ` kingmezii/!21.620,40.833/!ak47/!MRS - steel/!10.479,42.749
DMG/!MRS - mopoz/!24.126,41.000/!glock/!GL ` kingmezii/!21.629,40.916/!16
DMG/!MRS - mopoz/!24.025,41.005/!glock/!GL ` kingmezii/!21.670,40.903/!13
DMG/!MRS - mopoz/!23.958,41.030/!glock/!GL ` kingmezii/!21.680,40.873/!13
DMG/!MRS - lowel/!13.529,40.006/!glock/!GL ` kingmezii/!21.719,40.803/!12
DMG/!MRS - mopoz/!23.381,41.037/!glock/!GL ` kingmezii/!21.575,40.783/!13
KILL/!MRS - mopoz/!23.381,41.037/!glock/!GL ` kingmezii/!21.575,40.783
DMG/!MRS - ALEXXXXX/!10.026,45.128/!glock/!GL ` eraa/!15.594,54.794/!47
DMG/!MRS - ALEXXXXX/!10.444,44.898/!glock/!GL ` eraa/!15.084,55.176/!11
DMG/!MRS - ALEXXXXX/!10.646,44.894/!glock/!GL ` eraa/!14.964,55.316/!11
DMG/!MRS - ALEXXXXX/!11.051,45.221/!glock/!GL ` eraa/!14.884,55.389/!11
DMG/!GL ` eraa/!14.917,55.376/!p250/!MRS - ALEXXXXX/!11.043,45.349/!33
DMG/!MRS - ALEXXXXX/!10.950,45.490/!glock/!GL ` eraa/!14.910,55.378/!47
KILL/!MRS - ALEXXXXX/!10.950,45.490/!glock HS/!GL ` eraa/!14.910,55.378
DMG/!MRS - mopoz/!-11.011,57.735/!ak47/!GL ` RuStY^_^/!4.041,74.974/!26
DMG/!GL ` RuStY^_^/!4.004,74.984/!ak47/!MRS - mopoz/!-11.006,57.730/!137
KILL/!GL ` RuStY^_^/!4.004,74.984/!ak47 HS/!MRS - mopoz/!-11.006,57.730
DMG/!MRS - ALEXXXXX/!20.084,56.357/!awp/!GL ` hampus/!15.591,71.567/!47
DMG/!GL ` hampus/!15.591,71.567/!ak47/!MRS - ALEXXXXX/!20.080,56.356/!18
DMG/!GL ` hampus/!15.571,71.561/!ak47/!MRS - ALEXXXXX/!19.938,56.315/!34
KILL/!GL ` hampus/!15.553,71.556/!ak47/!MRS - ALEXXXXX/!19.123,56.082
DMG/!GL ` hampus/!15.553,71.556/!ak47/!MRS - ALEXXXXX/!19.123,56.082/!26
DMG/!MRS - lowel/!13.271,49.571/!ak47/!GL ` RuStY^_^/!12.909,57.240/!27
DMG/!MRS - lowel/!13.363,49.570/!ak47/!GL ` RuStY^_^/!12.899,57.178/!27
DMG/!MRS - lowel/!13.353,49.569/!ak47/!GL ` RuStY^_^/!12.898,57.175/!27
KILL/!MRS - lowel/!13.353,49.569/!ak47/!GL ` RuStY^_^/!12.898,57.175
DMG/!MRS - lowel/!10.259,63.047/!ak47/!GL ` hampus/!18.815,78.100/!26
DMG/!MRS - lowel/!10.198,63.078/!ak47/!GL ` hampus/!18.881,78.020/!26
KILL/!MRS - lowel/!10.208,63.072/!ak47 HS/!GL ` hampus/!18.900,78.003
DMG/!MRS - lowel/!10.208,63.072/!ak47/!GL ` hampus/!18.900,78.003/!107
DMG/!MRS - lowel/!30.727,79.682/!ak47/!GL ` Gux/!18.053,77.813/!27
DMG/!GL ` Gux/!18.071,77.833/!aug/!MRS - lowel/!30.726,79.684/!9
KILL/!GL ` Gux/!18.069,77.844/!aug HS/!MRS - lowel/!30.728,79.670
DMG/!GL ` Gux/!18.069,77.844/!aug/!MRS - lowel/!30.728,79.670/!109
DMG/!GL ` Gux/!24.871,62.753/!hegrenade/!MRS - mopoz/!37.678,49.802/!16
DMG/!MRS - mopoz/!45.133,61.226/!ak47/!GL ` Gux/!25.389,65.818/!26
DMG/!MRS - mopoz/!45.131,61.239/!ak47/!MRS - steel/!42.273,62.097/!36
DMG/!MRS - mopoz/!45.131,61.239/!ak47/!GL ` Gux/!25.395,65.833/!17
DMG/!GL ` Gux/!25.561,66.156/!m4a1_silencer/!MRS - steel/!41.910,62.927/!22
DMG/!MRS - mopoz/!44.974,60.597/!ak47/!GL ` Gux/!25.671,66.530/!26
KILL/!MRS - mopoz/!44.981,60.619/!ak47 HS/!GL ` Gux/!25.684,66.580
DMG/!MRS - mopoz/!44.981,60.619/!ak47/!GL ` Gux/!25.684,66.580/!107
DMG/!unnamed/!NAN/!/!GL ` eraa/!27.545,87.357/!5
DMG/!MRS - steel/!30.316,68.077/!hegrenade/!GL ` eraa/!26.230,70.876/!8
DMG/!MRS - steel/!30.316,68.077/!hegrenade/!GL ` kingmezii/!26.534,71.694/!7
DMG/!MRS - steel/!30.447,70.350/!inferno/!GL ` eraa/!25.364,70.903/!1
DMG/!MRS - steel/!30.518,70.613/!inferno/!GL ` eraa/!25.460,70.903/!2
DMG/!MRS - steel/!30.612,71.174/!inferno/!GL ` eraa/!25.675,70.924/!3
DMG/!MRS - steel/!30.787,71.642/!inferno/!GL ` eraa/!25.742,71.253/!4
DMG/!MRS - steel/!31.063,71.990/!inferno/!GL ` eraa/!25.797,71.870/!4
DMG/!MRS - steel/!31.529,72.692/!inferno/!GL ` eraa/!26.001,71.979/!6
DMG/!MRS - steel/!31.649,73.122/!inferno/!GL ` eraa/!26.357,71.800/!7
DMG/!MRS - EasTor/!39.879,71.951/!ak47/!GL ` eraa/!27.333,71.307/!108
KILL/!MRS - EasTor/!39.879,71.951/!ak47 HS/!GL ` eraa/!27.333,71.307
DMG/!unnamed/!NAN/!/!MRS - EasTor/!45.233,37.930/!12
DMG/!unnamed/!NAN/!/!MRS - mopoz/!52.458,36.492/!5
DMG/!unnamed/!NAN/!/!MRS - steel/!60.798,36.377/!1
DMG/!unnamed/!NAN/!/!GL ` hampus/!24.739,45.437/!21
DMG/!unnamed/!NAN/!/!GL ` RuStY^_^/!17.381,91.736/!1
DMG/!unnamed/!NAN/!/!MRS - lowel/!43.844,37.183/!11
DMG/!GL ` eraa/!6.040,41.158/!awp/!MRS - steel/!23.529,22.206/!80
DMG/!GL ` Gux/!37.257,71.597/!m4a1_silencer/!MRS - ALEXXXXX/!48.014,72.519/!91
DMG/!GL ` hampus/!34.009,64.354/!m4a1/!MRS - ALEXXXXX/!48.014,72.469/!16
KILL/!GL ` hampus/!34.009,64.354/!m4a1 WB/!MRS - ALEXXXXX/!48.014,72.469
DMG/!MRS - mopoz/!40.835,63.491/!ak47/!GL ` hampus/!33.895,64.418/!27
